Parcel_index,Nieuwenhuys_parcel,Lobe,GLI_exist,GLI_lateral,GLI_superior,GLI_median,GLI_inferior,GLI_Mean,Depth_exist,Baillarger_type,Baillarger_type_detail,Intrusion_type,Density_type,Reference,Original_information_source,Depth_profle
36,38,Frontal,1,56,57,50,,54,0,,,,,,,
37,39,Frontal,1,46,48,43,,46,1,Astriate,Propeastriate,Euradiate,,Hopf1967,"Hopf A - [Registration of the Myeloarchitecture of the human frontal lobe with an extinction method]- 3p (Fig 5)","[250.72       245.07       244.675      245.575      244.47  244.6        243.295      244.23       240.7        244.08  244.87       244.94       245.36       246.31       243.405  243.71       242.05       240.925      238.415      237.68666667  235.665      231.94833333 231.19666667 226.20666667 216.37666667  200.81       195.23166667 163.01833333 150.135      130.99166667  106.15833333  95.75333333 101.91333333  94.79833333  92.76666667   89.66833333  91.75833333  95.93166667  85.12        95.775  102.67833333 105.44833333 111.8         96.66333333 103.45833333   98.42166667 100.84333333 101.025       91.48666667  98.19666667   85.62666667 100.80333333 101.23666667 104.52166667  94.62833333   84.68166667  84.99        93.67333333  92.58333333  88.83   81.48833333  84.17166667  82.975       77.91166667  80.23833333   84.465       81.235       84.80333333  78.99833333  83.735   83.55666667  79.74333333  80.27833333  71.47        71.92333333   69.07833333  66.505       59.68166667  57.73166667  67.61833333   54.97833333  45.62833333  38.19666667  43.57        32.07666667   31.245       31.23666667  33.72        33.41833333  33.25333333   32.62166667  33.935       35.545       32.40333333  38.92166667   36.20666667  40.045       44.31166667  41.04        44.69166667]"
38,40,Frontal,1,56,57,,,56,0,,,,,,,
39,41,Frontal,1,125,,,168,143,0,,,,,,,
40,42,Frontal,1,43,47,41,,44,1,Astriate,,Euradiate,,Hopf1967,"Hopf A - [Registration of the Myeloarchitecture of the human frontal lobe with an extinction method]- 4p (Fig 7)","[250.76       243.605      242.17333333 234.56666667 235.16333333  236.30833333 241.28833333 241.60166667 241.72666667 242.14  240.31666667 239.04       240.48       239.96166667 239.97666667  238.54       236.66166667 233.00666667 230.42       222.115  216.63666667 209.78833333 194.10333333 179.16166667 174.035  149.96       142.1        135.775      127.97333333 119.26666667  111.61        97.26833333  96.16666667  90.28        91.53166667   83.26833333  82.19166667  83.92333333  84.22333333  81.89   79.06666667  69.8         70.15833333  78.43        68.63166667   64.57833333  61.2         60.715       59.095       46.55   46.30833333  43.26666667  50.58166667  40.665       39.01166667   43.405       35.75333333  27.50833333  26.64166667  26.88833333   29.86666667  30.55333333  21.02        17.45333333  17.32833333   15.995       14.74        20.285       17.76666667  13.535   17.55        15.08833333  18.78333333  10.99333333  10.93833333   12.23        10.91666667  13.49166667  15.04        13.72333333   11.65666667  14.08666667  10.40333333  10.93333333  11.42666667   10.05333333   9.22166667   8.96833333   9.49666667  12.72333333    8.77666667   9.15666667  15.66833333   8.56         9.99833333    9.455        9.25166667   9.9          9.38833333  11.89666667]"
41,43,Frontal,1,46,,,,46,0,,,,,,,
42,44,Frontal,1,74,76,,,75,1,Unistriate,Propeunistriate,,,Hopf1967,"Hopf A - [Registration of the Myeloarchitecture of the human frontal lobe with an extinction method]- 3p (Fig 6)","[251.46       246.57       245.16       245.545      244.93  240.775      244.03666667 240.7        238.79333333 234.85666667  241.45166667 240.01       238.32833333 237.98333333 236.29166667  233.41833333 233.75833333 229.52833333 226.255      223.675  223.285      218.33333333 215.455      209.62833333 203.87833333  202.61666667 180.35166667 186.615      181.57333333 173.315  162.65       148.87333333 132.17833333 115.79833333 108.08166667  105.905       90.655       73.71333333  64.225       67.55   67.77166667  52.71833333  58.31333333  72.34666667  69.27   57.64833333  60.52833333  69.51833333  63.50833333  73.84166667   67.14833333  55.46166667  46.01166667  58.29833333  47.31   44.07833333  41.365       33.23333333  33.64833333  22.275   18.56333333  17.94333333  16.45        21.43333333  27.36   29.57666667  34.85333333  35.33        39.82333333  28.65   32.70666667  31.20333333  22.94833333  22.62833333  15.83   24.56833333  17.365       18.35        15.62        11.85833333   12.03         9.885        7.055        5.9          6.865    3.88333333   4.69833333   4.48         3.935        3.54166667    3.65333333   3.80333333   3.95666667   3.55833333   3.89166667    3.52333333   3.84666667   3.785        4.31166667   4.6       ]"
43,45,Frontal,1,127,109,,,118,0,,,,,,,
44,46,Frontal,1,125,109,,,118,0,,,,,,,
45,47,Frontal,1,134,132,141,,136,0,,,,,,,
