"Normals:0","Normals:1","Normals:2","Points:0","Points:1","Points:2"
-0.031422,-0.9994,-0.014323,47.843,-46.458,3.6394
-0.093855,-0.99489,0.037293,46.674,-46.397,3.393
-0.10842,-0.99358,0.032218,45.852,-46.324,2.9961
-0.080444,-0.99581,0.043554,45.618,-46.308,2.1643
0.046984,-0.98437,0.16971,45.372,-46.398,1.2159
-0.698,0.37339,-0.61105,14.285,-46.238,-26.193
0.86365,0.43946,0.24693,52.78,-45.347,9.0452
-0.58073,0.52965,-0.61824,14.488,-45.828,-26.134
-0.45923,0.63218,-0.62406,14.995,-45.71,-26.404
0.61852,0.77434,0.1335,52.584,-44.888,8.3913
0.52527,0.84214,0.12203,52.342,-44.673,7.5772
0.58858,0.78836,0.17907,52.297,-44.473,6.6894
0.47363,0.83021,0.29397,51.538,-43.924,6.5046
0.35602,0.90301,0.24046,51.102,-43.532,6.045
-0.61353,0.5431,-0.57326,16.715,-43.836,-25.685
-0.45109,0.64678,-0.61497,16.051,-44.585,-25.881
-0.43136,0.66138,-0.61361,15.709,-45.277,-26.434
0.3949,0.91846,0.02201,51.084,-43.401,5.2843
0.22159,0.96534,0.13793,49.984,-43.063,5.2957
0.25148,0.96406,-0.085741,49.759,-42.967,4.2353
0.24921,0.94514,-0.21119,49.461,-43.143,3.1702
0.15133,0.96533,-0.21271,48.249,-42.898,3.1681
0.059713,0.95823,-0.27969,47.406,-42.829,2.9966
0.060327,0.95753,-0.28196,47.811,-43.156,2.2225
-0.0024172,0.96971,-0.24424,47.077,-43.376,1.322
0.0071089,0.95836,-0.28548,45.866,-43.372,1.3578
-0.026849,0.96627,-0.25613,45.145,-43.65,0.38246
-0.024454,0.96235,-0.2707,44.107,-43.709,0.37633
-0.011723,0.98779,-0.15537,43.481,-43.926,-0.60523
0.084343,0.99413,-0.067795,42.59,-43.991,-1.4191
0.17869,0.97912,0.096935,41.789,-43.895,-2.2785
0.29243,0.9133,0.28348,41.056,-43.552,-3.0715
0.369,0.85804,0.35722,40.321,-43,-3.72
-0.82008,0.29105,-0.49271,17.145,-42.639,-25.229
0.4385,0.84399,0.30887,40.385,-42.587,-4.7788
0.51933,0.7833,0.34167,39.671,-42.032,-5.0788
0.56011,0.7417,0.36901,39.148,-41.746,-4.9626
-0.80659,0.40344,0.43203,29.395,-41.726,-13.979
-0.43147,0.47102,0.7694,28.692,-41.68,-14.721
-0.92679,0.004257,-0.37555,17.481,-41.761,-25.78
0.59373,0.76125,0.26075,39.327,-41.561,-5.6179
0.63477,0.7452,0.20431,38.988,-41.188,-5.9811
0.70527,0.67948,0.20223,38.516,-40.673,-6.3244
-0.73729,0.49266,0.46226,29.499,-40.96,-14.481
-0.36343,0.53081,0.76561,28.854,-40.796,-15.114
-0.86948,-0.14028,-0.47363,17.339,-40.45,-25.821
0.37173,-0.77107,0.51698,55.97,-39.305,8.8325
0.54987,-0.67393,0.49342,56.331,-38.723,9.241
0.12564,-0.86855,0.47942,55.536,-39.458,8.7495
0.031924,-0.90584,0.42241,55.177,-39.513,8.6938
-0.027364,-0.92829,0.37085,55.323,-39.749,8.1672
-0.19956,-0.94938,0.24259,54.775,-39.756,7.9711
-0.34695,-0.93214,0.10366,54.528,-39.783,7.3439
-0.4585,-0.88808,0.033101,53.72,-39.443,7.3141
0.84931,0.44803,0.27919,37.97,-39.756,-7.0365
-0.83964,0.54283,-0.018319,30.052,-40.175,-13.988
-0.26263,0.54585,0.79566,28.88,-40.347,-15.453
0.034598,0.50668,0.86144,28.775,-39.888,-15.764
-0.64893,-0.016761,-0.76066,17.412,-39.714,-26.077
-0.57343,0.057547,-0.81723,17.595,-39.455,-26.194
0.67302,-0.67084,0.31148,56.854,-38.062,9.4875
-0.47446,-0.88003,-0.020765,53.595,-39.335,6.4041
-0.40705,-0.91302,0.026565,52.798,-38.905,6.1336
-0.34699,-0.9304,0.11808,52.599,-38.905,5.0511
-0.27057,-0.94038,0.2061,51.612,-38.638,4.7717
-0.13731,-0.93947,0.31393,51.092,-38.788,3.8137
-0.12569,-0.93845,0.32174,50.754,-38.64,4.107
-0.01165,-0.92349,0.38343,50.434,-38.916,3.3871
-0.080935,-0.89447,0.43974,50.058,-38.904,3.4183
-0.034819,-0.9555,0.29292,49.907,-39.145,2.8382
-0.062215,-0.94029,0.33464,49.033,-39.104,2.7113
-0.052701,-0.9904,0.12779,48.319,-39.219,2.0819
-0.027581,-0.99949,-0.016105,47.462,-39.188,1.2275
0.11254,-0.98287,-0.14597,46.667,-39.167,0.1717
0.07401,-0.86722,-0.49239,45.955,-39.119,-0.54827
-0.10118,-0.50968,-0.8544,45.213,-38.725,-0.88134
0.88284,0.32997,0.33423,38.331,-39.62,-8.1296
0.88985,0.087908,0.4477,38.17,-38.614,-8.3382
-0.53687,0.77113,-0.34224,30.625,-39.718,-14.165
-0.51599,0.64035,-0.56895,31.244,-38.804,-13.562
0.29045,0.51696,0.80523,28.878,-39.624,-15.891
-0.4129,0.10128,-0.90513,17.713,-39.054,-26.214
0.78462,-0.61281,0.094032,57.307,-37.544,9.6072
0.86216,-0.50615,0.022215,57.642,-37.006,9.8456
-0.0034704,0.099796,-0.995,45.645,-38.12,-1.0654
0.82125,-0.10781,0.5603,38.275,-37.717,-8.4331
-0.77237,0.42311,-0.47374,32.042,-37.977,-13.457
0.37011,0.69657,0.61466,29.475,-39.252,-16.599
0.73484,0.23454,0.6364,29.039,-38.804,-16.49
-0.43009,-0.82259,0.37198,28.941,-38.737,-16.276
-0.36508,-0.015657,-0.93084,17.687,-38.584,-26.174
-0.11472,0.10623,-0.9877,17.938,-38.793,-26.277
0.25948,-0.076477,-0.96272,18.081,-37.787,-26.235
0.93018,-0.071206,-0.36014,57.857,-36.212,9.3959
0.13934,0.58916,-0.79591,47.194,-37.574,-0.68713
0.050212,0.60813,-0.79225,46.158,-37.528,-0.77264
0.12224,0.79479,-0.59444,47.686,-36.994,0.024169
0.6543,-0.32551,0.68259,38.73,-36.819,-8.6862
-0.95862,0.11348,0.2611,32.261,-37.685,-13.712
0.038535,-0.65471,0.7549,31.181,-38.91,-14.101
-0.11257,-0.13088,0.98499,31.123,-37.875,-14.143
-0.034269,-0.97801,0.20574,30.861,-38.999,-15.024
-0.36009,-0.87816,0.31492,29.839,-39.074,-14.816
-0.42452,-0.90201,0.078468,29.432,-38.974,-15.961
-0.69148,-0.66259,0.28778,28.961,-38.657,-15.748
-0.53909,-0.84205,0.018164,28.941,-38.737,-16.276
0.47133,-0.016671,-0.8818,21.502,-36.234,-23.697
0.51317,0.0096162,-0.85823,20.838,-37.26,-24.034
0.67838,-0.047962,-0.73314,20.054,-37.101,-24.679
0.74116,-0.21725,-0.63521,19.566,-36.326,-25.324
0.37125,-0.27722,-0.88618,18.265,-36.557,-26.403
0.7815,0.17993,-0.5974,57.745,-35.798,9.1522
0.48922,0.47157,-0.73368,57.527,-35.562,9.0846
0.56582,0.40705,-0.71705,57.275,-36.274,8.6045
0.38663,0.69325,-0.60821,56.444,-37.049,7.4337
0.45224,0.84183,-0.29464,55.443,-37.319,6.3618
0.47129,0.8476,-0.24384,54.543,-36.767,6.7174
0.65262,0.73597,0.1801,54.585,-36.844,5.5539
0.6743,0.42576,0.60336,54.337,-35.918,4.685
0.0076749,0.29992,-0.95393,50.365,-35.625,2.3127
0.14017,0.66408,-0.7344,50.039,-36.199,1.9964
0.18606,0.85536,-0.48347,49.811,-36.555,1.3119
0.11483,0.857,-0.50237,49.015,-36.515,1.0906
0.141,0.77395,-0.61735,48.742,-36.962,0.24709
0.51895,-0.41141,0.74929,39.027,-35.903,-8.4507
0.36732,-0.53041,0.76403,39.831,-34.856,-8.2923
-0.87854,-0.21041,0.42883,32.286,-37.168,-13.513
0.40699,0.065974,-0.91105,22.251,-35.861,-23.33
0.50672,-0.046324,-0.86087,21.843,-35.622,-23.542
0.42661,0.0056985,-0.90442,22.692,-35.197,-23.085
0.70739,-0.40048,-0.58242,19.484,-35.336,-25.976
0.29235,-0.3701,-0.88179,18.445,-35.288,-26.839
0.65541,0.47168,0.58987,53.566,-35.307,5.1645
-0.17177,-0.010479,-0.98508,50.782,-35.114,2.354
0.24696,-0.71907,0.64957,40.69,-33.86,-7.8375
0.34769,0.042992,-0.93662,24.052,-34.517,-22.503
0.28024,0.16697,-0.9453,23.569,-35.359,-22.77
0.71224,-0.44799,-0.54039,20.069,-34.96,-25.458
0.6851,-0.48542,-0.54315,20.658,-34.358,-25.27
0.39122,-0.37242,-0.84157,18.986,-34.34,-27.086
0.55652,0.42644,0.71305,53.452,-34.521,4.7656
0.42976,0.33667,0.83783,53.967,-33.924,4.1514
-0.26171,-0.25404,-0.93111,51.303,-34.547,2.1109
-0.32464,-0.41286,-0.85098,51.49,-33.587,1.6448
0.10004,-0.88286,0.45887,41.611,-33.282,-7.2938
0.4432,-0.29588,-0.84619,23.842,-33.349,-22.783
0.69402,-0.46921,-0.54606,21.167,-34.133,-24.832
0.72935,-0.43888,-0.52482,21.463,-33.829,-24.693
0.18585,-0.20357,-0.96126,18.932,-33.332,-27.436
0.39362,0.35802,0.84669,53.486,-33.166,4.0493
-0.31849,-0.39876,-0.85997,50.805,-32.677,1.4912
-0.22107,-0.53383,0.81618,44.912,-32.615,-4.2643
0.0067468,-0.10846,0.99408,45.376,-32.187,-4.0018
-0.20432,-0.62344,0.7547,44.445,-32.516,-4.3149
-0.31036,-0.72443,0.61553,44.525,-32.881,-4.5167
-0.33851,-0.85088,0.40176,44.188,-32.824,-4.741
-0.015,-0.95788,0.28679,42.458,-32.969,-6.5237
-0.11269,-0.97145,0.20879,43.198,-32.805,-5.6242
